Month,Total SNAP Recipients
04/01/2019 12:00:00 AM,1550397
03/01/2019 12:00:00 AM,1561666
02/01/2019 12:00:00 AM,1564537
01/01/2019 12:00:00 AM,1570537
12/01/2018 12:00:00 AM,1571790
11/01/2018 12:00:00 AM,1577524
10/01/2018 12:00:00 AM,1590812
09/01/2018 12:00:00 AM,1594530
08/01/2018 12:00:00 AM,1604622
07/01/2018 12:00:00 AM,1603658
06/01/2018 12:00:00 AM,1607466
05/01/2018 12:00:00 AM,1618164
04/01/2018 12:00:00 AM,1618824
03/01/2018 12:00:00 AM,1633962
02/01/2018 12:00:00 AM,1620356
01/01/2018 12:00:00 AM,1635537
12/01/2017 12:00:00 AM,1635635
11/01/2017 12:00:00 AM,1640403
10/01/2017 12:00:00 AM,1636416
09/01/2017 12:00:00 AM,1655650
08/01/2017 12:00:00 AM,1662817
07/01/2017 12:00:00 AM,1670141
06/01/2017 12:00:00 AM,1676347
05/01/2017 12:00:00 AM,1682555
04/01/2017 12:00:00 AM,1669824
03/01/2017 12:00:00 AM,1682786
02/01/2017 12:00:00 AM,1678623
01/01/2017 12:00:00 AM,1696761
12/01/2016 12:00:00 AM,1698771
11/01/2016 12:00:00 AM,1698133
10/01/2016 12:00:00 AM,1692789
09/01/2016 12:00:00 AM,1702125
08/01/2016 12:00:00 AM,1707718
07/01/2016 12:00:00 AM,1690283
06/01/2016 12:00:00 AM,1693156
05/01/2016 12:00:00 AM,1694747
04/01/2016 12:00:00 AM,1677093
03/01/2016 12:00:00 AM,1678033
02/01/2016 12:00:00 AM,1679814
01/01/2016 12:00:00 AM,1676822
12/01/2015 12:00:00 AM,1688470
11/01/2015 12:00:00 AM,1686941
10/01/2015 12:00:00 AM,1694576
09/01/2015 12:00:00 AM,1696174
08/01/2015 12:00:00 AM,1692560
07/01/2015 12:00:00 AM,1699730
06/01/2015 12:00:00 AM,1706657
05/01/2015 12:00:00 AM,1701527
04/01/2015 12:00:00 AM,1709929
03/01/2015 12:00:00 AM,1716035
02/01/2015 12:00:00 AM,1716588
01/01/2015 12:00:00 AM,1722856
12/01/2014 12:00:00 AM,1742730
11/01/2014 12:00:00 AM,1732347
10/01/2014 12:00:00 AM,1738405
09/01/2014 12:00:00 AM,1739660
08/01/2014 12:00:00 AM,1743729
07/01/2014 12:00:00 AM,1751949
06/01/2014 12:00:00 AM,1755806
05/01/2014 12:00:00 AM,1758889
04/01/2014 12:00:00 AM,1762745
03/01/2014 12:00:00 AM,1769583
02/01/2014 12:00:00 AM,1785876
01/01/2014 12:00:00 AM,1821535
12/01/2013 12:00:00 AM,1838337
11/01/2013 12:00:00 AM,1836252
10/01/2013 12:00:00 AM,1850432
09/01/2013 12:00:00 AM,1855649
08/01/2013 12:00:00 AM,1869226
07/01/2013 12:00:00 AM,1880790
06/01/2013 12:00:00 AM,1873527
05/01/2013 12:00:00 AM,1871135
04/01/2013 12:00:00 AM,1872839
03/01/2013 12:00:00 AM,1872945
02/01/2013 12:00:00 AM,1858529
01/01/2013 12:00:00 AM,1864854
12/01/2012 12:00:00 AM,1906610
11/01/2012 12:00:00 AM,1864472
10/01/2012 12:00:00 AM,1838911
09/01/2012 12:00:00 AM,1836249
08/01/2012 12:00:00 AM,1844896
07/01/2012 12:00:00 AM,1837299
06/01/2012 12:00:00 AM,1834161
05/01/2012 12:00:00 AM,1825013
04/01/2012 12:00:00 AM,1810179
03/01/2012 12:00:00 AM,1821023
02/01/2012 12:00:00 AM,1811369
01/01/2012 12:00:00 AM,1815175
12/01/2011 12:00:00 AM,1825377
11/01/2011 12:00:00 AM,1819653
10/01/2011 12:00:00 AM,1832667
09/01/2011 12:00:00 AM,1831882
08/01/2011 12:00:00 AM,1826690
07/01/2011 12:00:00 AM,1835190
06/01/2011 12:00:00 AM,1830907
05/01/2011 12:00:00 AM,1820946
04/01/2011 12:00:00 AM,1822591
03/01/2011 12:00:00 AM,1823042
02/01/2011 12:00:00 AM,1803076
01/01/2011 12:00:00 AM,1805763
12/01/2010 12:00:00 AM,1810730
11/01/2010 12:00:00 AM,1797430
10/01/2010 12:00:00 AM,1789683
09/01/2010 12:00:00 AM,1776501
08/01/2010 12:00:00 AM,1764202
07/01/2010 12:00:00 AM,1755644
06/01/2010 12:00:00 AM,1731884
05/01/2010 12:00:00 AM,1715629
04/01/2010 12:00:00 AM,1700301
03/01/2010 12:00:00 AM,1687344
02/01/2010 12:00:00 AM,1663116
01/01/2010 12:00:00 AM,1656221
12/01/2009 12:00:00 AM,1644846
11/01/2009 12:00:00 AM,1619835
10/01/2009 12:00:00 AM,1607212
09/01/2009 12:00:00 AM,1583581
08/01/2009 12:00:00 AM,1554815
07/01/2009 12:00:00 AM,1537284
06/01/2009 12:00:00 AM,1502368
05/01/2009 12:00:00 AM,1473304
04/01/2009 12:00:00 AM,1444403
03/01/2009 12:00:00 AM,1415907
02/01/2009 12:00:00 AM,1390204
01/01/2009 12:00:00 AM,1366942
